name,private,archived,default_branch,head_sha,license_spdx,language,disk_kb,file_count,rtl_files,firmware_files,software_files,test_files,relevance_score,tree_truncated,error
a11oy,False,False,main,a73e734009ec96a6d3bebcb45066ee4da249797f,,Python,46007,5362,0,0,2692,503,849,False,
szl-forge,False,False,main,6e0ac08533cbb1c8cd9c7fb00a352d67028c99ee,,Python,1079,259,0,0,115,34,183,False,
szl-khipu,False,False,main,4610f14483397ad9644f3780f93a01be4eadcafe,,Python,368,186,0,0,63,8,112,False,
szl-energy-attest,False,False,main,aa07e060c1ebead7a16e4e43738ff4bb8551aba8,,Python,181,46,0,0,25,12,56,False,
lutar-lean,False,False,main,0c17b008b89025d1ddf0a1a2cacad49023325bea,,Lean,3952,434,0,0,25,5,55,False,
szl-kernels,False,False,main,9b8628776afb10daee8c2caec90683e057fe4dd3,,TeX,669,60,0,0,23,7,53,False,
YARQA-ATTN,False,False,main,373b61869278ddd041b03db0469b6a2fdb78f8d4,,Python,43,21,0,0,12,8,49,False,
governance-as-code,False,False,main,b76551be27819ad1154aa2b19bb55955239fea98,,Python,279,75,0,0,12,1,44,False,
szl-block-kv,False,False,main,f94ef2aa9b2c3195daaa815ccd01fd84d9d0ba81,,Python,44,16,0,0,7,3,44,False,
szl-blocked,False,False,main,d0fd834ebf6bfc9c566075ac78e11ffeff4bc4a1,,Python,73,31,0,0,17,2,42,False,
szl-provctl,False,False,main,d1e562aa7b3d335adfeb4343cb6dc5309b202739,,Python,51,27,0,0,15,2,41,False,
szl-govsign,False,False,main,fde27bfb7f31bf5ec0a9dcbafb30547ce33dec2b,,Python,42,27,0,0,15,2,40,False,
szl-receipt-attn,False,False,main,9465638440f732131d50c7a44fac954fc75ceedb,,Python,53,20,0,0,11,6,39,False,
szl-gpu-bridge,False,False,main,9dc52f301c0f123517f04ed56dedb804a3e57985,,Python,1039,136,0,0,52,36,37,False,
szl-maskmod,False,False,main,491ee549031b2d971a616f4d4da75275f16ee3b7,,Python,21,18,0,0,9,5,37,False,
szl-invariants,False,False,main,513ff01e71d7d36e5c404058f3c6277259e098ec,,Python,66,22,0,0,9,4,34,False,
